Date,Hour,AMA AMA30
2019-04-28,04:00:00,68
2019-04-28,05:00:00,83
2019-04-28,06:00:00,49
2019-04-28,07:00:00,80
2019-04-28,08:00:00,73
2019-04-28,09:00:00,135
2019-04-28,10:00:00,31
2019-04-28,11:00:00,122
2019-04-28,12:00:00,90
2019-04-28,13:00:00,142
2019-04-28,14:00:00,80
2019-04-28,15:00:00,50
2019-04-28,16:00:00,48
2019-04-28,17:00:00,85
2019-04-28,18:00:00,25
2019-04-29,04:00:00,95
2019-04-29,05:00:00,73
2019-04-29,06:00:00,58
2019-04-29,07:00:00,128
2019-04-29,08:00:00,17
2019-04-29,09:00:00,72
2019-04-29,10:00:00,136
2019-04-29,11:00:00,81
2019-04-29,12:00:00,35
2019-04-29,13:00:00,55
2019-04-29,14:00:00,23
2019-04-29,15:00:00,81
2019-04-29,16:00:00,71
2019-04-29,17:00:00,24
2019-04-29,18:00:00,18
2019-04-29,19:00:00,12
2019-04-30,04:00:00,67
2019-04-30,05:00:00,63
2019-04-30,06:00:00,49
2019-04-30,07:00:00,90
2019-04-30,08:00:00,24
2019-04-30,09:00:00,54
2019-04-30,10:00:00,131
2019-04-30,11:00:00,48
2019-04-30,12:00:00,36
2019-04-30,13:00:00,12
2019-04-30,14:00:00,36
2019-04-30,15:00:00,123
2019-04-30,16:00:00,43
2019-05-01,04:00:00,127
2019-05-01,05:00:00,100
2019-05-01,06:00:00,47
2019-05-01,07:00:00,97
2019-05-01,08:00:00,38
2019-05-01,09:00:00,83
2019-05-01,10:00:00,156
2019-05-01,11:00:00,74
2019-05-01,12:00:00,66
2019-05-01,13:00:00,11
2019-05-01,14:00:00,47
2019-05-01,15:00:00,119
2019-05-01,16:00:00,53
2019-05-01,17:00:00,66
2019-05-01,18:00:00,29
2019-05-01,19:00:00,20
2019-05-02,04:00:00,42
2019-05-02,05:00:00,90
2019-05-02,06:00:00,59
2019-05-02,07:00:00,144
2019-05-02,08:00:00,27
2019-05-02,09:00:00,106
2019-05-02,10:00:00,172
2019-05-02,11:00:00,65
2019-05-02,12:00:00,89
2019-05-02,13:00:00,53
2019-05-02,14:00:00,46
2019-05-02,15:00:00,191
2019-05-02,16:00:00,133
2019-05-02,17:00:00,68
2019-05-02,18:00:00,36
2019-05-02,19:00:00,27
2019-05-03,04:00:00,46
2019-05-03,05:00:00,129
2019-05-03,06:00:00,43
2019-05-03,07:00:00,39
2019-05-03,08:00:00,27
2019-05-03,09:00:00,92
2019-05-03,10:00:00,203
2019-05-03,11:00:00,74
2019-05-03,12:00:00,44
2019-05-03,13:00:00,77
2019-05-03,14:00:00,62
2019-05-03,15:00:00,153
2019-05-03,16:00:00,124
2019-05-03,17:00:00,97
2019-05-03,18:00:00,28
2019-05-03,19:00:00,27
2019-05-03,20:00:00,0
2019-05-04,04:00:00,78
2019-05-04,05:00:00,59
2019-05-04,06:00:00,53
2019-05-04,07:00:00,119
2019-05-04,08:00:00,46
2019-05-04,09:00:00,135
2019-05-04,10:00:00,48
2019-05-04,11:00:00,90
2019-05-04,12:00:00,5
2019-05-04,13:00:00,19
2019-05-04,14:00:00,53
2019-05-04,15:00:00,27
2019-05-04,16:00:00,18
2019-05-04,17:00:00,20
2019-05-04,18:00:00,0
